ano,codigo,previsao,arrecadacao
2024,17,1576847000.0,1770198967.19
2024,11,1419782000.0,1528341927.6
2024,72,387814000.0,396010549.88
2024,12,181361000.0,214787874.51
2024,79,100556000.0,110999115.55
2024,19,71442000.0,94071708.55
2024,13,82635000.0,92655232.33
2024,21,59000000.0,85196006.71
2024,16,42778000.0,47974871.51
2024,24,11780000.0,35790817.5
2024,76,13689000.0,13627836.42
2024,73,914000.0,977876.76
2024,22,408000.0,130845.6
2024,29,0.0,48497.0
2024,15,0.0,0.0
2024,14,0.0,0.0
2024,23,0.0,0.0
