ano,codigo,especificacao,subitem,previsao,arrecadacao,para_mais,para_menos
2021,11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",,875546000.0,992590204.28,117044204.28,0.0
2021,11,,Renúncia,25584000.0,53647798.19,0.0,28063798.19
2021,11,,Descontos Concedidos,22025000.0,24407756.24,0.0,2382756.24
2021,11,,Outras Deduções,11000.0,0.0,11000.0,0.0
2021,12,CONTRIBUIÇÕES,,134272000.0,145973033.68,11701033.68,0.0
2021,12,,Renúncia,0.0,3255.22,0.0,3255.22
2021,12,,Descontos Concedidos,0.0,0.0,0.0,0.0
2021,12,,Outras Deduções,0.0,0.0,0.0,0.0
2021,13,RECEITA PATRIMONIAL,,37118000.0,28176825.59,0.0,8941174.41
2021,14,Receita Agropecuária - Dívida Ativa - Juros de Mora,,0.0,0.0,0.0,0.0
2021,15,Receita Industrial - Dívida Ativa - Juros de Mora,,0.0,0.0,0.0,0.0
2021,16,RECEITA DE SERVIÇOS,,65987000.0,70070218.51,4083218.51,0.0
2021,16,,Renúncia,0.0,1.04,0.0,1.04
2021,17,TRANSFERÊNCIAS CORRENTES,,1031951000.0,1146100106.96,114149106.96,0.0
2021,17,,Deduções de Receita para a Formação do FUNDEB,84277000.0,92564750.24,0.0,8287750.24
2021,19,OUTRAS RECEITAS CORRENTES,,46577000.0,59507693.61,12930693.61,0.0
2021,19,,Renúncia,0.0,2361305.25,0.0,2361305.25
2021,19,,Descontos Concedidos,0.0,37704.46,0.0,37704.46
2021,19,,Outras Deduções,0.0,0.0,0.0,0.0
2021,21,OPERAÇÕES DE CRÉDITO,,148225000.0,37489018.5,0.0,110735981.5
2021,22,ALIENAÇÃO DE BENS,,8313000.0,627993.9,0.0,7685006.1
2021,23,Amortização de Financiamentos - Dívida Ativa - Juros de Mora,,0.0,0.0,0.0,0.0
2021,24,TRANSFERÊNCIAS DE CAPITAL,,9299000.0,8914797.98,0.0,384202.02
2021,29,OUTRAS RECEITAS DE CAPITAL,,1000.0,0.0,0.0,1000.0
2021,72,CONTRIBUIÇÕES,,249582000.0,252033914.4,2451914.4,0.0
2021,73,RECEITA PATRIMONIAL,,49000.0,260658.69,211658.69,0.0
2021,76,RECEITA DE SERVIÇOS,,600000.0,426260.76,0.0,173739.24
2021,79,OUTRAS RECEITAS CORRENTES,,115000.0,66178.8,0.0,48821.2
