codigo,especificacao,previsao,arrecadacao
17,TRANSFERÊNCIAS CORRENTES,1116228000.0,1238664857.2
11,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA",923166000.0,1070645758.71
72,CONTRIBUIÇÕES,249582000.0,252033914.4
12,CONTRIBUIÇÕES,134272000.0,145976288.9
16,RECEITA DE SERVIÇOS,65987000.0,70070219.55
19,OUTRAS RECEITAS CORRENTES,46577000.0,61906703.32
21,OPERAÇÕES DE CRÉDITO,148225000.0,37489018.5
13,RECEITA PATRIMONIAL,37118000.0,28176825.59
24,TRANSFERÊNCIAS DE CAPITAL,9299000.0,8914797.98
22,ALIENAÇÃO DE BENS,8313000.0,627993.9
76,RECEITA DE SERVIÇOS,600000.0,426260.76
73,RECEITA PATRIMONIAL,49000.0,260658.69
79,OUTRAS RECEITAS CORRENTES,115000.0,66178.8
15,Receita Industrial - Dívida Ativa - Juros de Mora,0.0,0.0
14,Receita Agropecuária - Dívida Ativa - Juros de Mora,0.0,0.0
29,OUTRAS RECEITAS DE CAPITAL,1000.0,0.0
23,Amortização de Financiamentos - Dívida Ativa - Juros de Mora,0.0,0.0
